,season,week,date,awayteam,hometeam,stadium,location,winner,proba_away,proba_home
144,2022,10,2022-11-13,Saints,Steelers,Acrisure Stadium,"Pittsburgh, PA",0,0.7118,0.2882
145,2022,10,2022-11-13,Colts,Raiders,Allegiant Stadium,"Las Vegas, NV",0,0.597,0.403
146,2022,10,2022-11-13,Cowboys,Packers,Lambeau Field,"Green Bay, WI",0,0.5385,0.4615
147,2022,10,2022-11-13,Cardinals,Rams,SoFi Stadium,"Inglewood, CA",0,0.597,0.403
148,2022,10,2022-11-13,Chargers,49ers,Levi's Stadium,"Santa Clara, CA",0,0.597,0.403
149,2022,10,2022-11-14,Washington,Eagles,Lincoln Financial Field,"Philadelphia, PA",0,0.597,0.403
150,2022,11,2022-11-17,Titans,Packers,Lambeau Field,"Green Bay, WI",0,0.5385,0.4615
151,2022,11,2022-11-20,Bears,Falcons,Mercedes-Benz Stadium,"Atlanta, GA",0,0.6134,0.3866
152,2022,11,2022-11-20,Browns,Bills,Highmark Stadium,"Orchard Park, NY",0,0.597,0.403
153,2022,11,2022-11-20,Eagles,Colts,Lucas Oil Stadium,"Indianapolis, IN",0,0.597,0.403
154,2022,11,2022-11-20,Jets,Patriots,Gillette Stadium,"Foxboro, MA",0,0.5663,0.4337
155,2022,11,2022-11-20,Rams,Saints,Caesars Superdome,"New Orleans, LA",0,0.677,0.323
156,2022,11,2022-11-20,Lions,Giants,MetLife Stadium,"East Rutherford, NJ",0,0.6027,0.3973
157,2022,11,2022-11-20,Panthers,Ravens,M&T Bank Stadium,"Baltimore, MD",0,0.597,0.403
158,2022,11,2022-11-20,Washington,Texans,NRG Stadium,"Houston, TX",0,0.6382,0.3618
159,2022,11,2022-11-20,Raiders,Broncos,Empower Field at Mile High,"Denver, CO",0,0.597,0.403
160,2022,11,2022-11-20,Cowboys,Vikings,U.S. Bank Stadium,"Minneapolis, MN",0,0.597,0.403
161,2022,11,2022-11-20,Chiefs,Chargers,SoFi Stadium,"Inglewood, CA",0,0.7309,0.2691
162,2022,11,2022-11-20,Bengals,Steelers,Acrisure Stadium,"Pittsburgh, PA",1,0.3889,0.6111
163,2022,11,2022-11-21,49ers,Cardinals,Estadio Azteca,Mexico City,0,0.597,0.403
164,2022,14,2022-12-08,Raiders,Rams,SoFi Stadium,"Inglewood, CA",0,0.597,0.403
165,2022,14,2022-12-11,Jets,Bills,Highmark Stadium,"Orchard Park, NY",0,0.5634,0.4366
166,2022,14,2022-12-11,Browns,Bengals,Paycor Stadium,"Cincinnati, OH",0,0.597,0.403
167,2022,14,2022-12-11,Texans,Cowboys,AT&T Stadium,"Arlington, TX",0,0.597,0.403
168,2022,14,2022-12-11,Vikings,Lions,Ford Field,"Detroit, MI",0,0.597,0.403
169,2022,14,2022-12-11,Jaguars,Titans,Nissan Stadium,"Nashville, TN",1,0.4555,0.5445
170,2022,14,2022-12-11,Eagles,Giants,MetLife Stadium,"East Rutherford, NJ",0,0.6159,0.3841
171,2022,14,2022-12-11,Ravens,Steelers,Acrisure Stadium,"Pittsburgh, PA",0,0.5188,0.4812
172,2022,14,2022-12-11,Dolphins,Chargers,SoFi Stadium,"Inglewood, CA",0,0.597,0.403
173,2022,14,2022-12-11,Buccaneers,49ers,Levi's Stadium,"Santa Clara, CA",0,0.597,0.403
174,2022,14,2022-12-11,Panthers,Seahawks,Lumen Field,"Seattle, WA",0,0.597,0.403
175,2022,14,2022-12-11,Chiefs,Broncos,Empower Field at Mile High,"Denver, CO",0,0.7309,0.2691
176,2022,14,2022-12-12,Patriots,Cardinals,State Farm Stadium,"Glendale, AZ",0,0.597,0.403
177,2022,15,2022-12-15,49ers,Seahawks,Lumen Field,"Seattle, WA",0,0.597,0.403
178,2022,15,2022-12-18,Dolphins,Bills,Highmark Stadium,"Orchard Park, NY",0,0.597,0.403
179,2022,15,2022-12-18,Ravens,Browns,FirstEnergy Stadium,"Cleveland, OH",0,0.597,0.403
180,2022,15,2022-12-18,Colts,Vikings,U.S. Bank Stadium,"Minneapolis, MN",0,0.597,0.403
181,2022,15,2022-12-18,Falcons,Saints,Caesars Superdome,"New Orleans, LA",0,0.6059,0.3941
182,2022,15,2022-12-18,Giants,Washington,FedExField,"Landover, MD",0,0.5673,0.4327
183,2022,15,2022-12-18,Eagles,Bears,Soldier Field,"Chicago, IL",0,0.597,0.403
