,season,week,awayteam,hometeam,awayscore,homescore,idgame,score_abs,winner_home,winner_away,winner_team,concat,home_coach,away_coach,location,weather_type,temperature,humidity,wind
735,2019,5,Colts,Chiefs,19,13,401128053,-6,0,1,Colts,2019_05_Chiefs_Colts,Andy Reid,Frank Reich,Home,cloudy,59,75,3
736,2019,5,Browns,49ers,3,31,401128062,28,1,0,49ers,2019_05_49ers_Browns,Kyle Shanahan,Freddie Kitchens,Home,cloudy,87,36,8
737,2019,7,Saints,Bears,36,25,401127982,-11,0,1,Saints,2019_07_Bears_Saints,Matt Nagy,Sean Payton,Home,cloudy,54,84,6
738,2019,7,Chargers,Titans,20,23,401127979,3,1,0,Titans,2019_07_Titans_Chargers,Mike Vrabel,Anthony Lynn,Home,sunny,77,40,2
739,2019,7,49ers,Washington,9,0,401127977,-9,0,1,49ers,2019_07_Washington_49ers,Bill Callahan,Kyle Shanahan,Home,rain,55,93,12
740,2019,7,Cardinals,Giants,27,21,401127974,-6,0,1,Cardinals,2019_07_Giants_Cardinals,Pat Shurmur,Kliff Kingsbury,Home,rain,56,78,3
741,2019,7,Texans,Colts,23,30,401127951,7,1,0,Colts,2019_07_Colts_Texans,Frank Reich,Bill O'Brien,Home,sunny,66,56,2
742,2019,9,Lions,Raiders,24,31,401128085,7,1,0,Raiders,2019_09_Raiders_Lions,Jon Gruden,Matt Patricia,Home,sunny,71,34,6
743,2019,4,Raiders,Colts,31,24,401128030,-7,0,1,Raiders,2019_04_Colts_Raiders,Frank Reich,Jon Gruden,Home,cloudy,77,72,10
744,2019,1,Texans,Saints,28,30,401128021,2,1,0,Saints,2019_01_Saints_Texans,Sean Payton,Bill O'Brien,Home,cloudy,91,59,9
745,2019,9,Texans,Jaguars,26,3,401127936,-23,0,1,Texans,2019_09_Jaguars_Texans,Doug Marrone,Bill O'Brien,Neutral,cloudy,53,54,6
746,2019,4,Titans,Falcons,24,10,401128016,-14,0,1,Titans,2019_04_Falcons_Titans,Dan Quinn,Mike Vrabel,Home,cloudy,68,70,5
747,2019,9,Jets,Dolphins,18,26,401128080,8,1,0,Dolphins,2019_09_Dolphins_Jets,Brian Flores,Adam Gase,Home,cloudy,85,64,11
748,2019,9,Washington,Bills,9,24,401128076,15,1,0,Bills,2019_09_Bills_Washington,Sean McDermott,Bill Callahan,Home,cloudy,42,56,18
749,2019,9,Vikings,Chiefs,23,26,401128079,3,1,0,Chiefs,2019_09_Chiefs_Vikings,Andy Reid,Mike Zimmer,Home,sunny,54,37,15
750,2019,9,Colts,Steelers,24,26,401128083,2,1,0,Steelers,2019_09_Steelers_Colts,Mike Tomlin,Frank Reich,Home,cloudy,48,47,12
751,2019,4,Chiefs,Lions,34,30,401128023,-4,0,1,Chiefs,2019_04_Lions_Chiefs,Matt Patricia,Andy Reid,Home,indoor,68,70,5
752,2019,5,Rams,Seahawks,29,30,401127927,1,1,0,Seahawks,2019_05_Seahawks_Rams,Pete Carroll,Sean McVay,Home,cloudy,57,56,7
753,2019,4,Patriots,Bills,16,10,401127866,-6,0,1,Patriots,2019_04_Bills_Patriots,Sean McDermott,Bill Belichick,Home,cloudy,58,71,10
754,2019,1,Titans,Browns,43,13,401127928,-30,0,1,Titans,2019_01_Browns_Titans,Freddie Kitchens,Mike Vrabel,Home,cloudy,71,55,10
755,2019,9,Bears,Eagles,14,22,401128082,8,1,0,Eagles,2019_09_Eagles_Bears,Doug Pederson,Matt Nagy,Home,sunny,52,37,13
756,2019,4,Eagles,Packers,34,27,401127863,-7,0,1,Eagles,2019_04_Packers_Eagles,Matt LaFleur,Doug Pederson,Home,cloudy,6,62,3
757,2019,9,49ers,Cardinals,28,25,401127908,-3,0,1,49ers,2019_09_Cardinals_49ers,Kliff Kingsbury,Kyle Shanahan,Home,sunny,75,5,5
758,2019,5,Bears,Raiders,21,24,401128001,3,1,0,Raiders,2019_05_Raiders_Bears,Jon Gruden,Matt Nagy,Neutral,cloudy,59,60,15
759,2019,17,Jets,Bills,13,6,401127973,-7,0,1,Jets,2019_17_Bills_Jets,Sean McDermott,Adam Gase,Home,rain,43,85,7
760,2019,5,Cardinals,Bengals,26,23,401127958,-3,0,1,Cardinals,2019_05_Bengals_Cardinals,Zac Taylor,Kliff Kingsbury,Home,cloudy,76,68,6
761,2019,5,Bills,Titans,14,7,401128014,-7,0,1,Bills,2019_05_Titans_Bills,Mike Vrabel,Sean McDermott,Home,cloudy,77,71,13
762,2019,1,Ravens,Dolphins,59,10,401127954,-49,0,1,Ravens,2019_01_Dolphins_Ravens,Brian Flores,John Harbaugh,Home,cloudy,91,56,8
763,2020,7,Cowboys,Washington,3,25,401220266,22,1,0,Washington,2020_07_Washington_Cowboys,Ron Rivera,Mike McCarthy,Home,cloudy,46,90,5
764,2020,7,Packers,Texans,35,20,401220183,-15,0,1,Packers,2020_07_Texans_Packers,Romeo Crennel,Matt LaFleur,Home,cloudy,7,91,3
765,2020,7,Panthers,Saints,24,27,401220322,3,1,0,Saints,2020_07_Saints_Panthers,Sean Payton,Matt Rhule,Home,cloudy,63,92,8
766,2020,2,Broncos,Steelers,21,26,401220177,5,1,0,Steelers,2020_02_Steelers_Broncos,Mike Tomlin,Vic Fangio,Home,sunny,64,39,5
767,2020,2,Rams,Eagles,37,19,401220261,-18,0,1,Rams,2020_02_Eagles_Rams,Doug Pederson,Sean McVay,Home,sunny,62,34,12
768,2020,3,Texans,Steelers,21,28,401220173,7,1,0,Steelers,2020_03_Steelers_Texans,Mike Tomlin,Bill O'Brien,Home,cloudy,79,69,6
769,2020,2,49ers,Jets,31,13,401220144,-18,0,1,49ers,2020_02_Jets_49ers,Adam Gase,Kyle Shanahan,Home,sunny,61,29,7
770,2020,7,Bills,Jets,18,10,401220138,-8,0,1,Bills,2020_07_Jets_Bills,Adam Gase,Sean McDermott,Home,cloudy,52,52,8
771,2020,11,Cowboys,Vikings,31,28,401220305,-3,0,1,Cowboys,2020_11_Vikings_Cowboys,Mike Zimmer,Mike McCarthy,Home,indoor,39,73,14
772,2020,7,Steelers,Titans,27,24,401249063,-3,0,1,Steelers,2020_07_Titans_Steelers,Mike Vrabel,Mike Tomlin,Home,cloudy,55,88,3
773,2020,16,Falcons,Chiefs,14,17,401220223,3,1,0,Chiefs,2020_16_Chiefs_Falcons,Andy Reid,Raheem Morris,Home,cloudy,49,44,8
774,2020,16,Browns,Jets,16,23,401220145,7,1,0,Jets,2020_16_Jets_Browns,Adam Gase,Kevin Stefanski,Home,sunny,37,42,5
775,2020,16,Colts,Steelers,24,28,401220174,4,1,0,Steelers,2020_16_Steelers_Colts,Mike Tomlin,Frank Reich,Home,sunny,37,65,6
776,2020,16,Bears,Jaguars,41,17,401220199,-24,0,1,Bears,2020_16_Jaguars_Bears,Doug Marrone,Matt Nagy,Home,cloudy,55,60,5
777,2020,2,Jaguars,Titans,30,33,401220204,3,1,0,Titans,2020_02_Titans_Jaguars,Mike Vrabel,Doug Marrone,Home,sunny,72,60,5
778,2020,16,Giants,Ravens,13,27,401220152,14,1,0,Ravens,2020_16_Ravens_Giants,John Harbaugh,Joe Judge,Home,sunny,38,48,3
779,2020,2,Vikings,Colts,11,28,401220192,17,1,0,Colts,2020_02_Colts_Vikings,Frank Reich,Mike Zimmer,Home,sunny,68,65,5
780,2020,2,Bills,Dolphins,31,28,401220122,-3,0,1,Bills,2020_02_Dolphins_Bills,Brian Flores,Sean McDermott,Home,cloudy,9,68,5
781,2020,7,Giants,Eagles,21,22,401220259,1,1,0,Eagles,2020_07_Eagles_Giants,Doug Pederson,Joe Judge,Home,cloudy,7,75,4
782,2020,3,Titans,Vikings,31,30,401220304,-1,0,1,Titans,2020_03_Vikings_Titans,Mike Zimmer,Mike Vrabel,Home,indoor,68,70,5
783,2020,3,Raiders,Patriots,20,36,401220134,16,1,0,Patriots,2020_03_Patriots_Raiders,Bill Belichick,Jon Gruden,Home,cloudy,73,81,8
784,2020,3,49ers,Giants,36,9,401220254,-27,0,1,49ers,2020_03_Giants_49ers,Joe Judge,Kyle Shanahan,Home,cloudy,75,72,2
785,2020,16,Bengals,Texans,37,31,401220182,-6,0,1,Bengals,2020_16_Texans_Bengals,Romeo Crennel,Zac Taylor,Home,sunny,7,80,12
786,2020,7,Lions,Falcons,23,22,401220310,-1,0,1,Lions,2020_07_Falcons_Lions,Raheem Morris,Matt Patricia,Home,cloudy,71,79,3
787,2020,7,Browns,Bengals,37,34,401220155,-3,0,1,Browns,2020_07_Bengals_Browns,Zac Taylor,Kevin Stefanski,Home,cloudy,48,77,8
788,2020,16,Panthers,Washington,20,13,401220273,-7,0,1,Panthers,2020_16_Washington_Panthers,Ron Rivera,Matt Rhule,Home,sunny,41,46,6
789,2020,16,Broncos,Chargers,16,19,401220234,3,1,0,Chargers,2020_16_Chargers_Broncos,Anthony Lynn,Vic Fangio,Home,cloudy,61,65,2
790,2020,16,Rams,Seahawks,9,20,401220362,11,1,0,Seahawks,2020_16_Seahawks_Rams,Pete Carroll,Sean McVay,Home,cloudy,45,89,2
791,2020,16,Eagles,Cowboys,17,37,401220243,20,1,0,Cowboys,2020_16_Cowboys_Eagles,Mike McCarthy,Doug Pederson,Home,cloudy,73,20,10
792,2020,13,Jaguars,Vikings,24,27,401220303,3,1,0,Vikings,2020_13_Vikings_Jaguars,Mike Zimmer,Doug Marrone,Home,indoor,36,76,7
793,2020,13,Raiders,Jets,31,28,401220142,-3,0,1,Raiders,2020_13_Jets_Raiders,Adam Gase,Jon Gruden,Home,sunny,39,46,18
794,2020,13,Colts,Texans,26,20,401220178,-6,0,1,Colts,2020_13_Texans_Colts,Romeo Crennel,Frank Reich,Home,sunny,57,76,6
795,2020,17,Saints,Panthers,33,7,401220315,-26,0,1,Saints,2020_17_Panthers_Saints,Matt Rhule,Sean Payton,Home,cloudy,57,80,2
796,2020,1,Packers,Vikings,43,34,401220300,-9,0,1,Packers,2020_01_Vikings_Packers,Mike Zimmer,Matt LaFleur,Home,indoor,68,70,5
797,2020,17,Titans,Texans,41,38,401220180,-3,0,1,Titans,2020_17_Texans_Titans,Romeo Crennel,Mike Vrabel,Home,sunny,66,39,11
798,2020,7,Seahawks,Cardinals,34,37,401220338,3,1,0,Cardinals,2020_07_Cardinals_Seahawks,Kliff Kingsbury,Pete Carroll,Home,cloudy,84,33,16
799,2020,13,Rams,Cardinals,38,28,401220336,-10,0,1,Rams,2020_13_Cardinals_Rams,Kliff Kingsbury,Sean McVay,Home,sunny,71,12,2
