,week,awayteam,hometeam,pred_winner_team,real_winner,team,abbr,moneyline,money_bet,good_predict,pocket
161,11,Steelers,Chargers,Steelers,Chargers,PIT,PIT,230.0,100.0,No,-100.0
162,11,Texans,Titans,Titans,Texans,TEN,TEN,-455.0,100.0,No,-100.0
163,11,Washington,Panthers,Washington,Washington,WAS,WAS,150.0,100.0,Yes,250.0
164,12,Bears,Lions,Bears,Bears,CHI,CHI,-140.0,100.0,Yes,171.42857142857144
165,12,Bills,Saints,Saints,Bills,NO,NO,225.0,100.0,No,-100.0
166,12,Browns,Ravens,Ravens,Ravens,BAL,BAL,-185.0,100.0,Yes,154.05405405405406
167,12,Buccaneers,Colts,Buccaneers,Buccaneers,TB,TB,-160.0,100.0,Yes,162.5
168,12,Chargers,Broncos,Chargers,Broncos,LAC,LAC,-145.0,100.0,No,-100.0
169,12,Eagles,Giants,Eagles,Giants,PHI,PHI,-170.0,100.0,No,-100.0
170,12,Falcons,Jaguars,Falcons,Falcons,ATL,ATL,-130.0,100.0,Yes,176.9230769230769
171,12,Jets,Texans,Texans,Jets,HOU,HOU,-140.0,100.0,No,-100.0
172,12,Panthers,Dolphins,Dolphins,Dolphins,MIA,MIA,110.0,100.0,Yes,210.0
173,12,Raiders,Cowboys,Cowboys,Raiders,DAL,DAL,-340.0,100.0,No,-100.0
174,12,Rams,Packers,Packers,Packers,GB,GB,-100.0,100.0,Yes,200.0
175,12,Seahawks,Washington,Washington,Washington,WAS,WAS,-115.0,100.0,Yes,186.95652173913044
176,12,Steelers,Bengals,Steelers,Bengals,PIT,PIT,170.0,100.0,No,-100.0
177,12,Titans,Patriots,Patriots,Patriots,NE,NE,-290.0,100.0,Yes,134.48275862068965
178,12,Vikings,49ers,Vikings,49ers,MIN,MIN,150.0,100.0,No,-100.0
179,13,49ers,Seahawks,49ers,Seahawks,SF,SF,-170.0,100.0,No,-100.0
180,13,Broncos,Chiefs,Chiefs,Chiefs,KC,KC,-430.0,100.0,Yes,123.25581395348837
181,13,Buccaneers,Falcons,Buccaneers,Buccaneers,TB,TB,-520.0,100.0,Yes,119.23076923076923
182,13,Cardinals,Bears,Cardinals,Cardinals,ARI,ARI,-345.0,100.0,Yes,128.9855072463768
183,13,Chargers,Bengals,Bengals,Chargers,CIN,CIN,-165.0,100.0,No,-100.0
184,13,Colts,Texans,Colts,Colts,IND,IND,-440.0,100.0,Yes,122.72727272727272
185,13,Cowboys,Saints,Cowboys,Cowboys,DAL,DAL,-265.0,100.0,Yes,137.73584905660377
186,13,Eagles,Jets,Eagles,Eagles,PHI,PHI,-285.0,100.0,Yes,135.08771929824562
187,13,Giants,Dolphins,Dolphins,Dolphins,MIA,MIA,-200.0,100.0,Yes,150.0
188,13,Jaguars,Rams,Rams,Rams,LAR,LAR,-665.0,100.0,Yes,115.0375939849624
189,13,Patriots,Bills,Patriots,Patriots,NE,NE,125.0,100.0,Yes,225.0
190,13,Ravens,Steelers,Steelers,Steelers,PIT,PIT,175.0,100.0,Yes,275.0
191,13,Vikings,Lions,Vikings,Lions,MIN,MIN,-320.0,100.0,No,-100.0
192,13,Washington,Raiders,Washington,Washington,WAS,WAS,110.0,100.0,Yes,210.0
193,14,49ers,Bengals,49ers,49ers,SF,SF,-125.0,100.0,Yes,180.0
194,14,Bears,Packers,Packers,Packers,GB,GB,-680.0,100.0,Yes,114.70588235294117
195,14,Bills,Buccaneers,Bills,Buccaneers,BUF,BUF,150.0,100.0,No,-100.0
196,14,Cowboys,Washington,Cowboys,Cowboys,DAL,DAL,-205.0,100.0,Yes,148.78048780487805
197,14,Falcons,Panthers,Falcons,Falcons,ATL,ATL,120.0,100.0,Yes,220.0
198,14,Giants,Chargers,Chargers,Chargers,LAC,LAC,-460.0,100.0,Yes,121.73913043478261
