,season,week,date,awayteam,hometeam,stadium,location,winner,proba_away,proba_home
240,2022,17,2022-12-29,Cowboys,Titans,Nissan Stadium,"Nashville, TN",1,0.3166,0.6834
241,2022,17,2023-01-01,Cardinals,Falcons,Mercedes-Benz Stadium,"Atlanta, GA",0,0.5722,0.4278
242,2022,17,2023-01-01,Bears,Lions,Ford Field,"Detroit, MI",0,0.6496,0.3504
243,2022,17,2023-01-01,Broncos,Chiefs,GEHA Field at Arrowhead Stadium,"Kansas City, MO",1,0.1831,0.8169
244,2022,17,2023-01-01,Dolphins,Patriots,Gillette Stadium,"Foxboro, MA",1,0.2109,0.7891
245,2022,17,2023-01-01,Colts,Giants,MetLife Stadium,"East Rutherford, NJ",0,0.6499,0.3501
246,2022,17,2023-01-01,Saints,Eagles,Lincoln Financial Field,"Philadelphia, PA",0,0.6597,0.3403
247,2022,17,2023-01-01,Panthers,Buccaneers,Raymond James Stadium,"Tampa, FL",1,0.3949,0.6051
248,2022,17,2023-01-01,Browns,Washington,FedExField,"Landover, MD",1,0.4639,0.5361
249,2022,17,2023-01-01,Steelers,Ravens,M&T Bank Stadium,"Baltimore, MD",1,0.4311,0.5689
